Звісно, ось переклад оповідей для інвесторів на англійську та норвезьку мови, оформлений у вигляді таблиці.

### **Investor Narratives: Elvarika**

| Українська (Оригінал) | English (Translation) | Norsk (Oversettelse) |
| :--- | :--- | :--- |
| **1. Логістика та складське господарство** | **1. Logistics and Warehousing** | **1. Logistikk og lagerhold** |
| Уявіть собі Яна, керівника великого логістичного термінала в Осло. Його команда на 60% складається з іноземних працівників з Польщі, Литви та України. Щодня він стикається з фінансовими втратами через мовні бар'єри: пошкоджені вантажі через неправильне розуміння інструкцій з маркування, затримки у відвантаженні через помилки в документах та, що найгірше, постійний ризик нещасних випадків. Один інцидент з навантажувачем (forklift) через нерозуміння терміна "сліпа зона" коштував компанії 150 000 NOK у вигляді прямого збитку та простою обладнання. [cite_start]Норвезька інспекція праці (Arbeidstilsynet) неодноразово вказувала на мовні бар'єри як на критичний фактор ризику в логістиці. [cite: 9, 10] | Imagine Jan, the manager of a large logistics terminal in Oslo. 60% of his team consists of foreign workers from Poland, Lithuania, and Ukraine. Every day, he faces financial losses due to language barriers: damaged goods from misunderstanding labeling instructions, shipping delays from errors in documents, and worst of all, the constant risk of accidents. One incident with a forklift, caused by a misunderstanding of the term "blind spot," cost the company 150,000 NOK in direct damages and equipment downtime. [cite_start]The Norwegian Labour Inspection Authority (Arbeidstilsynet) has repeatedly identified language barriers as a critical risk factor in logistics. [cite: 9, 10] | Se for deg Jan, lederen for en stor logistikkterminal i Oslo. Teamet hans består av 60 % utenlandske arbeidere fra Polen, Litauen og Ukraina. Hver dag står han overfor økonomiske tap på grunn av språkbarrierer: skadede varer som følge av misforståelser av merkeinstrukser, forsinkelser i forsendelser på grunn av feil i dokumenter, og verst av alt, den konstante risikoen for ulykker. Én enkelt hendelse med en gaffeltruck, forårsaket av en misforståelse av begrepet "blindsone", kostet selskapet 150 000 NOK i direkte skader og nedetid på utstyret. [cite_start]Arbeidstilsynet har gjentatte ganger påpekt språkbarrierer som en kritisk risikofaktor i logistikkbransjen. [cite: 9, 10] |
| **Рішення Elvarika:** Ян завантажує в систему стандартну інструкцію з техніки безпеки на складі (PDF, 10 сторінок). За 5 хвилин Elvarika генерує персоналізований аудіоурок для всієї команди. Новий працівник з України, ще не розпакувавши валізи, вже слухає у навушниках: «Під час роботи з навантажувачем (gaffeltruck), завжди перевіряй маркування вантажу (merking av last)». [cite_start]Система використовує речення з оригінального документа, створюючи єдиний стандарт розуміння для всіх ("Якірний Контекст"). [cite: 2, 24] [cite_start]Вбудований SRS-алгоритм дбає, щоб ці критичні терміни надійно закріпилися в пам'яті. [cite: 27, 28] | **Elvarika's Solution:** Jan uploads the standard warehouse safety manual (a 10-page PDF) into the system. In 5 minutes, Elvarika generates a personalized audio lesson for the entire team. A new employee from Ukraine, before even unpacking his bags, is already listening on his headphones: "When operating a forklift (gaffeltruck), always check the cargo labeling (merking av last)." [cite_start]The system uses the sentence from the original document, creating a single standard of understanding for everyone (the "Anchor Context"). [cite: 2, 24] [cite_start]The built-in SRS algorithm ensures these critical terms are committed to long-term memory. [cite: 27, 28] | **Elvarikas løsning:** Jan laster opp den standard sikkerhetshåndboken for lageret (en 10-siders PDF) i systemet. På 5 minutter genererer Elvarika en personlig tilpasset lydleksjon for hele teamet. En nyansatt fra Ukraina kan, før han engang har pakket ut, lytte på hodetelefonene sine: "Når du bruker en gaffeltruck, sjekk alltid merking av last." [cite_start]Systemet bruker setningen fra det originale dokumentet og skaper en felles forståelsesstandard for alle ("Ankerkontekst"). [cite: 2, 24] [cite_start]Den innebygde SRS-algoritmen sørger for at disse kritiske begrepene fester seg i langtidshukommelsen. [cite: 27, 28] |
| [cite_start]**Результат для інвестора:** Elvarika – це не "вітамін", це "аспірин" від гострого болю. [cite: 33] Ми пропонуємо вимірюване зниження фінансових втрат, зменшення ризику штрафів та підвищення операційної ефективності. [cite_start]Ринок логістики в Норвегії величезний і має постійний попит на іноземну робочу силу. [cite: 41] Elvarika має потенціал стати галузевим стандартом для швидкої та безпечної мовної адаптації, генеруючи стабільний ARR з кожного складу та термінала в країні. | [cite_start]**The Investor's Payoff:** Elvarika isn't a "vitamin"; it's an "aspirin" for a critical pain point. [cite: 33] We offer a measurable reduction in financial losses, a lower risk of fines, and increased operational efficiency. [cite_start]The logistics market in Norway is enormous and has a constant demand for foreign labor. [cite: 41] Elvarika has the potential to become the industry standard for rapid and safe language adaptation, generating stable ARR from every warehouse and terminal in the country. | [cite_start]**Resultat for investoren:** Elvarika er ikke en "vitamin", det er en "hodepinetablett" for en akutt smerte. [cite: 33] Vi tilbyr en målbar reduksjon i økonomiske tap, redusert risiko for bøter og økt operasjonell effektivitet. [cite_start]Logistikkmarkedet i Norge er enormt og har en konstant etterspørsel etter utenlandsk arbeidskraft. [cite: 41] Elvarika har potensial til å bli bransjestandarden for rask og sikker språktilpasning, og generere stabil årlig gjentakende inntekt (ARR) fra hvert eneste lager og terminal i landet. |
| **2. Виробництво та будівництво** | **2. Manufacturing and Construction** | **2. Produksjon og bygg og anlegg** |
| Розглянемо Анну, HSE-менеджера на великому будівельному об'єкті. [cite_start]Вона відповідає за безпеку багатонаціональної команди. [cite: 45] Нещодавно через мовне непорозуміння щодо термінології роботи з обладнанням під високим тиском стався інцидент, що призвів до зупинки робіт на два дні та пошкодження техніки на суму понад 250 000 NOK. [cite_start]Це прямий фінансовий збиток, не враховуючи репутаційних ризиків та потенційних санкцій. [cite: 11] | Consider Anna, an HSE Manager at a large construction site. [cite_start]She is responsible for the safety of a multinational team. [cite: 45] Recently, a language misunderstanding regarding the terminology for operating high-pressure equipment led to an incident that caused a two-day work stoppage and over 250,000 NOK in equipment damage. [cite_start]This is a direct financial loss, not to mention the reputational risks and potential penalties. [cite: 11] | La oss se på Anna, en HMS-leder på en stor byggeplass. [cite_start]Hun er ansvarlig for sikkerheten til et multinasjonalt team. [cite: 45] Nylig førte en språk-misforståelse om terminologien for bruk av høytrykksutstyr til en hendelse som medførte to dagers driftsstans og skader på utstyr for over 250 000 NOK. [cite_start]Dette er et direkte økonomisk tap, for ikke å snakke om omdømmerisiko og potensielle sanksjoner. [cite: 11] |
| [cite_start]**Рішення Elvarika:** Анна фотографує інструкцію до нового обладнання та завантажує її в Elvarika. [cite: 2] [cite_start]Перед генерацією уроку вона переглядає список слів-кандидатів, що запропонувала система, і додає декілька специфічних термінів, на яких хоче зробити акцент. [cite: 21, 22] [cite_start]Через кілька хвилин кожен член бригади отримує на свій телефон аудіоплейлист. [cite: 31] Вони слухають його прямо на об'єкті, засвоюючи фрази на кшталт «використовуй засоби індивідуального захисту (personlig verneutstyr)» та «перевір кріплення опалубки (forskaling)». | [cite_start]**Elvarika's Solution:** Anna takes a photo of the new equipment's manual and uploads it to Elvarika. [cite: 2] [cite_start]Before generating the lesson, she reviews the list of candidate words suggested by the system and adds a few specific terms she wants to emphasize. [cite: 21, 22] [cite_start]A few minutes later, every member of the crew receives an audio playlist on their phone. [cite: 31] They listen to it right on-site, internalizing phrases like "use personal protective equipment (personlig verneutstyr)" and "check the formwork fastening (forskaling)." | [cite_start]**Elvarikas løsning:** Anna tar et bilde av bruksanvisningen til det nye utstyret og laster det opp i Elvarika. [cite: 2] [cite_start]Før leksjonen genereres, gjennomgår hun listen over ordforslag fra systemet og legger til noen spesifikke termer hun vil fremheve. [cite: 21, 22] [cite_start]Noen minutter senere mottar hvert medlem av teamet en spilleliste på telefonen sin. [cite: 31] De lytter til den direkte på byggeplassen og lærer seg fraser som "bruk personlig verneutstyr" og "kontroller festingen av forskalingen". |
| [cite_start]**Результат для інвестора:** Elvarika пропонує унікальну швидкість виходу на цінність (Time-to-Value). [cite: 51] [cite_start]Ми перетворюємо тижні неефективного онбордингу на години цільового навчання. [cite: 12] Для будівельних та виробничих компаній це означає пряму економію коштів, прискорення реалізації проєктів та, що найважливіше, створення безпечного робочого середовища. Інвестуючи в Elvarika, ви інвестуєте в інструмент управління ризиками, який має чіткий та вимірюваний ROI для кожного клієнта. | [cite_start]**The Investor's Payoff:** Elvarika offers a unique Time-to-Value. [cite: 51] [cite_start]We turn weeks of inefficient onboarding into hours of targeted learning. [cite: 12] For construction and manufacturing companies, this means direct cost savings, accelerated project completion, and most importantly, a safer work environment. By investing in Elvarika, you are investing in a risk management tool with a clear and measurable ROI for every client. | [cite_start]**Resultat for investoren:** Elvarika tilbyr en unik "Time-to-Value" (tid til verdi). [cite: 51] [cite_start]Vi gjør uker med ineffektiv onboarding om til timer med målrettet opplæring. [cite: 12] For bygg- og produksjonsbedrifter betyr dette direkte kostnadsbesparelser, raskere prosjektgjennomføring og, viktigst av alt, et tryggere arbeidsmiljø. Ved å investere i Elvarika, investerer du i et verktøy for risikostyring som har en klar og målbar avkastning (ROI) for hver eneste kunde. |
| **3. HoReCa та сфера послуг** | **3. HoReCa and Services** | **3. HoReCa og tjenesteyting** |
